win,Color,First Dragon Count,First Inhibitor Count,First Blood Count,First Tower Count,Avg Baron Kills,Avg Inhibitor Kills,Avg Tower Kills,Avg Total Gold,Avg Dragon Kills
2890056319,Blue,0,0,0,1,0.0,0.0,2.0,49518.0,0.0
2890056319,Red,1,1,1,0,0.0,2.0,8.0,61164.0,3.0
2890073184,Blue,0,1,1,0,0.0,1.0,7.0,57194.0,1.0
2890073184,Red,1,0,0,1,0.0,0.0,5.0,49135.0,2.0
2890118776,Blue,1,1,1,1,1.0,3.0,11.0,58812.0,2.0
2890118776,Red,0,0,0,0,0.0,0.0,0.0,43495.0,1.0
2890201243,Blue,1,0,1,0,0.0,0.0,2.0,38600.0,2.0
2890201243,Red,0,1,0,1,0.0,2.0,10.0,52933.0,1.0
2890252267,Blue,1,1,0,1,1.0,3.0,10.0,58920.0,3.0
2890252267,Red,0,0,1,0,0.0,0.0,1.0,46548.0,0.0
2890295920,Blue,0,0,0,1,0.0,0.0,3.0,46609.0,0.0
2890295920,Red,1,0,1,0,0.0,0.0,4.0,55956.0,4.0
2890353439,Blue,0,0,1,1,0.0,0.0,3.0,47608.0,0.0
2890353439,Red,1,1,0,0,1.0,2.0,10.0,59577.0,4.0
2890415146,Blue,1,1,0,0,1.0,1.0,7.0,55287.0,2.0
2890415146,Red,0,0,1,1,0.0,0.0,4.0,49113.0,1.0
2890420181,Blue,1,1,1,1,1.0,1.0,9.0,56675.0,1.0
2890420181,Red,0,0,0,0,0.0,0.0,1.0,40588.0,0.0
2890436655,Blue,1,1,1,0,1.0,1.0,6.0,54039.0,2.0
2890436655,Red,0,0,0,1,0.0,0.0,3.0,45070.0,0.0
2890440115,Blue,1,1,1,1,0.0,1.0,8.0,53615.0,2.0
2890440115,Red,0,0,0,0,0.0,0.0,0.0,38661.0,0.0
2890517438,Blue,0,0,1,0,0.0,0.0,5.0,48320.0,0.0
2890517438,Red,1,1,0,1,1.0,3.0,9.0,55754.0,2.0
2890583255,Blue,1,0,1,0,0.0,0.0,3.0,42155.0,1.0
2890583255,Red,0,1,0,1,0.0,1.0,9.0,58299.0,1.0
2890697853,Blue,0,0,1,0,0.0,0.0,2.0,42539.0,0.0
2890697853,Red,1,1,0,1,1.0,2.0,9.0,56752.0,3.0
2890723844,Blue,1,1,0,1,1.0,2.0,9.0,58464.0,3.0
2890723844,Red,0,0,1,0,0.0,0.0,2.0,45061.0,0.0
2890777411,Blue,1,1,1,1,0.0,3.0,11.0,57440.0,2.0
2890777411,Red,0,0,0,0,0.0,0.0,0.0,36471.0,0.0
2890887545,Blue,0,0,0,0,0.0,0.0,2.0,43932.0,0.0
2890887545,Red,1,1,1,1,0.0,1.0,8.0,55332.0,3.0
2890906675,Blue,1,0,1,1,0.0,0.0,4.0,50903.0,1.0
2890906675,Red,0,1,0,0,0.0,2.0,9.0,55576.0,1.0
2890993603,Blue,1,0,1,1,0.0,0.0,3.0,47567.0,2.0
2890993603,Red,0,0,0,0,0.0,0.0,2.0,39246.0,0.0
2891000007,Blue,1,1,0,0,1.0,3.0,11.0,58012.0,2.0
2891000007,Red,0,0,1,1,0.0,0.0,1.0,46224.0,1.0
2891076218,Blue,0,0,0,1,0.0,0.0,3.0,44206.0,0.0
2891076218,Red,1,1,1,0,1.0,1.0,8.0,58554.0,3.0
2891176291,Blue,0,1,0,1,1.0,2.0,10.0,56471.0,1.0
2891176291,Red,1,0,1,0,0.0,0.0,0.0,44408.0,1.0
2891594894,Blue,0,0,1,0,0.0,0.0,1.0,43986.0,0.0
