ind,gameID,winnerTotal,loserTotal,GoldDifference,bin
0,2764362215,3016.0,4751.0,-1735.0,8
0,2764362215,5199.0,4685.0,514.0,9
0,2764601921,1250.0,1250.0,0.0,1
0,2764601921,1355.0,880.0,475.0,2
0,2764601921,2046.5,2850.5,-804.0,3
0,2764601921,2619.5,3093.0,-473.5,4
0,2764601921,3639.5,4985.0,-1345.5,5
0,2764601921,2206.5,3450.5,-1244.0,6
0,2764601921,4047.0,4277.0,-230.0,7
0,2764601921,4146.5,3699.5,447.0,8
0,2764601921,2913.5,2553.0,360.5,9
0,2764609800,985.3333333333334,979.0,6.333333333333333,1
0,2764609800,2771.3333333333335,2283.0,488.3333333333333,2
0,2764609800,4633.333333333333,2529.3333333333335,2104.0,3
0,2764609800,3115.3333333333335,3013.3333333333335,102.0,4
0,2764609800,3319.6666666666665,3208.0,111.66666666666667,5
0,2764609800,3102.0,3053.0,49.0,6
0,2764609800,4964.666666666667,3338.3333333333335,1626.3333333333333,7
0,2764609800,4629.0,4272.666666666667,356.3333333333333,8
0,2764609800,3573.6666666666665,3230.3333333333335,343.3333333333333,9
0,2764618872,1233.25,1254.25,-21.0,1
0,2764618872,3056.0,3865.5,-809.5,2
0,2764618872,3292.75,3565.0,-272.25,3
0,2764618872,3540.0,5101.5,-1561.5,4
0,2764618872,4204.25,3580.25,624.0,5
0,2764618872,4481.5,4897.0,-415.5,6
0,2764618872,3628.0,4093.0,-465.0,7
0,2764618872,5445.75,3415.0,2030.75,8
0,2764618872,3794.75,6064.0,-2269.25,9
0,2764632841,1250.0,1250.0,0.0,1
0,2764632841,1250.0,1089.0,161.0,2
0,2764632841,4135.5,3286.0,849.5,3
0,2764632841,3208.0,1690.0,1518.0,4
0,2764632841,2701.5,3352.0,-650.5,5
0,2764632841,4588.5,3229.5,1359.0,6
0,2764632841,2585.0,3209.0,-624.0,7
0,2764632841,5010.5,4077.0,933.5,8
0,2764632841,6075.5,3364.5,2711.0,9
0,2764829911,1338.0,976.3333333333334,361.6666666666667,1
0,2764829911,2591.6666666666665,1993.0,598.6666666666666,2
0,2764829911,2205.3333333333335,2286.0,-80.66666666666667,3
0,2764829911,3185.6666666666665,6707.0,-3521.3333333333335,4
0,2764829911,4009.0,2092.6666666666665,1916.3333333333333,5
0,2764829911,3331.3333333333335,4714.333333333333,-1383.0,6
0,2764829911,3786.3333333333335,3195.6666666666665,590.6666666666666,7
0,2764829911,2692.0,5998.0,-3306.0,8
0,2764829911,2852.3333333333335,2714.3333333333335,138.0,9
0,2765175660,1262.5,1250.0,12.5,1
0,2765175660,1247.0,1111.5,135.5,2
0,2765175660,2802.0,3159.5,-357.5,3
0,2765175660,2665.0,2101.5,563.5,4
0,2765175660,2510.5,2972.0,-461.5,5
0,2765175660,4831.0,866.5,3964.5,6
0,2765175660,3197.0,3237.5,-40.5,7
0,2765175660,4758.5,2262.5,2496.0,8
0,2765175660,5190.5,2501.5,2689.0,9
0,2765289814,999.3333333333334,935.0,64.33333333333333,1
0,2765289814,2359.6666666666665,2287.3333333333335,72.33333333333333,2
0,2765289814,2743.0,2459.3333333333335,283.6666666666667,3
0,2765289814,2902.6666666666665,3132.6666666666665,-230.0,4
